Lat,Lon
42.340988,-71.137772
42.355915,-71.182289
42.356522,-71.183235
42.356884,-71.185181
42.356838,-71.185219
42.356422,-71.185936
42.3564,-71.18602
42.340401,-71.262093
42.311119,-71.371071
42.315647,-71.401398
42.315708,-71.401733
42.315762,-71.402039
42.315792,-71.402199
42.315823,-71.402367
42.315918,-71.40303
42.315945,-71.403198
42.316086,-71.404655
42.316116,-71.404999
42.316128,-71.40519
42.316135,-71.405396
42.294796,-71.481865
42.291691,-71.486504
42.291527,-71.486748
42.291443,-71.48687
42.291351,-71.487007
42.29126,-71.487137
42.291092,-71.487389
42.291008,-71.487518
42.290924,-71.48764
42.290836,-71.487778
42.290745,-71.487907
42.290508,-71.488274
42.290417,-71.488403
42.290329,-71.488533
42.290249,-71.488655
42.290169,-71.488777
42.290089,-71.488892
42.290009,-71.489014
42.289925,-71.489143
42.289845,-71.489265
42.289772,-71.489388
42.289692,-71.489502
42.289612,-71.489624
42.289528,-71.489746
42.289444,-71.489868
42.289364,-71.48999
42.289291,-71.490097
42.289207,-71.490219
42.289124,-71.490341
42.289047,-71.490456
42.288979,-71.490562
42.288898,-71.490685
42.287605,-71.492744
42.287529,-71.492874
42.287449,-71.493019
42.287369,-71.493172
42.287296,-71.493317
42.287228,-71.493454
42.287159,-71.493591
42.287086,-71.493736
42.28701,-71.493896
42.28693,-71.494057
42.286861,-71.494202
42.286797,-71.494347
42.286724,-71.494499
42.286652,-71.494659
42.286583,-71.494812
42.286518,-71.494957
42.286453,-71.495117
42.286388,-71.495277
42.28632,-71.495445
42.286247,-71.495621
42.286186,-71.495781
42.286133,-71.495941
42.286076,-71.496101
42.286015,-71.496262
42.285954,-71.496437
42.285892,-71.496605
42.285839,-71.496765
42.285789,-71.49691
42.285736,-71.49707
42.285683,-71.497238
42.285629,-71.497406
42.28558,-71.497566
42.285534,-71.497719
42.266106,-71.56604
42.266052,-71.56617
42.265392,-71.567688
42.265255,-71.568001
42.263706,-71.571579
42.2626,-71.573723
42.262516,-71.57386
42.26244,-71.57399
42.262363,-71.57412
42.262287,-71.574242
42.262207,-71.574364
42.261944,-71.574753
42.261864,-71.574875
42.261776,-71.574997
42.261688,-71.575127
42.261589,-71.575256
42.26149,-71.575386
42.261402,-71.5755
42.261318,-71.575615
42.261215,-71.575745
42.261112,-71.575874
42.261009,-71.575996
42.26091,-71.576118
42.260815,-71.576233
42.259312,-71.577759
42.259209,-71.57785
42.259102,-71.57795
42.258331,-71.578667
42.257893,-71.579071
42.257328,-71.579597
42.257229,-71.579689
42.257118,-71.579796
42.257004,-71.579895
42.256901,-71.579994
42.256798,-71.580086
42.256695,-71.580185
42.256592,-71.580276
42.256477,-71.580383
42.256363,-71.58049
42.25605,-71.580772
42.25573,-71.58107
42.255512,-71.581276
42.255394,-71.58139
42.255272,-71.581497
42.255165,-71.581596
42.255062,-71.581688
42.254948,-71.581795
42.254833,-71.581894
42.254715,-71.582008
42.254593,-71.58213
42.254486,-71.58223
42.254383,-71.582321
42.254265,-71.582428
42.254143,-71.58255
42.254028,-71.582657
42.253914,-71.582764
42.253803,-71.58287
42.253693,-71.58297
42.253571,-71.583084
42.253448,-71.583199
42.253334,-71.583298
42.253223,-71.583397
42.253105,-71.583511
42.252983,-71.583618
42.252861,-71.583733
42.252735,-71.583847
42.252621,-71.583954
42.252514,-71.584061
42.252388,-71.584175
42.252258,-71.584297
42.252144,-71.584396
42.252033,-71.584496
42.251915,-71.58461
42.251793,-71.584717
42.251671,-71.584831
42.251545,-71.584953
42.251431,-71.58506
42.251324,-71.585159
42.251209,-71.585274
42.251091,-71.585381
42.250645,-71.585785
42.250599,-71.585831
42.24995,-71.586433
42.249725,-71.586639
42.249607,-71.586746
42.249516,-71.58683
42.249413,-71.586929
42.249294,-71.587036
42.248962,-71.587349
42.24876,-71.587547
42.248642,-71.587646
42.248543,-71.587746
42.248447,-71.587837
42.248352,-71.587921
42.248257,-71.588005
42.248154,-71.588104
42.248043,-71.588203
42.247944,-71.588295
42.247849,-71.588379
42.247746,-71.588478
42.247643,-71.588585
42.247536,-71.588676
42.247433,-71.58876
42.247337,-71.588852
42.247246,-71.588943
42.247147,-71.589043
42.247044,-71.589134
42.246941,-71.589226
42.246742,-71.589401
42.246647,-71.589493
42.246346,-71.589783
42.246254,-71.589867
42.24622,-71.589897
42.24622,-71.589897
42.246098,-71.590012
42.245892,-71.590202
42.245811,-71.590279
42.245811,-71.590279
42.245697,-71.590393
42.245506,-71.590576
42.24543,-71.590652
42.24543,-71.590652
42.245354,-71.590729
42.245304,-71.590775
42.245213,-71.590866
42.245125,-71.590958
42.245079,-71.591003
42.244965,-71.591125
42.244862,-71.591232
42.244816,-71.591278
42.244732,-71.591377
42.24464,-71.591469
42.244595,-71.591515
42.244503,-71.591614
42.244446,-71.591682
42.24437,-71.591766
